Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q26,Q22,Q23,Q24,Q25
Sometimes,No,Very confident,"No, never",Very confident,Open and read carefully,Often,Sometimes,Rarely,Rarely,Rarely,Confident,Never,Helpful,Sometimes,Quizzes,Not effective,Sometimes,Neutral,Neutral,Never,Sometimes,Effective,Neutral,Neutral
Never,Not sure what a password manager is,Very confident,"Yes, but a long time ago",Very confident,Consult a colleague,Rarely,Rarely,Occasionally,Monthly,Never,Neutral,Rarely,Not helpful at all,Most of the time,Live training sessions,Neutral,Rarely,Neutral,Neutral,"Yes, frequently",Sometimes,Not effective,Useful,"Yes, somewhat"
Rarely,Yes,Very confident,"Yes, but a long time ago",Very confident,Report it to IT,Always,Sometimes,"No, never",Monthly,Rarely,Very confident,Occasionally,Not very helpful,Never,Quizzes,Effective,No,Not relevant,Somewhat,"Yes, frequently",No,"Yes, highly effective",Very useful,"Yes, significantly"
Sometimes,Yes,Not confident at all,"No, never",Somewhat confident,Consult a colleague,Never,Rarely,Occasionally,Monthly,"Yes, automatically",Very confident,Not sure,Not very helpful,Most of the time,Live training sessions,Very effective,Sometimes,Somewhat relevant,No,Never,Rarely,"Yes, highly effective",Not useful,"Yes, somewhat"
Always,Yes,Confident,"Yes, recently",Very confident,Open and read carefully,Rarely,Never,"Yes, frequently",Monthly,"Yes, manually",Not confident,Never,Very helpful,Sometimes,Live training sessions,Very effective,"Yes, always",Neutral,Neutral,Never,Rarely,"Yes, highly effective",Useful,Neutral
Rarely,Not sure what a password manager is,Not confident at all,"Yes, recently",Not confident,Delete it immediately,Rarely,"Yes, always",Occasionally,Every week,"Yes, automatically",Neutral,Not sure,Helpful,Sometimes,Live training sessions,Not effective,Rarely,Somewhat relevant,"Yes, significantly",Sometimes,"Yes, always",Effective,Very useful,Neutral
Rarely,Not sure what a password manager is,Not confident,"Yes, recently",Not confident,Report it to IT,Rarely,"Yes, always",Rarely,Every week,Sometimes,Confident,Occasionally,Not very helpful,Sometimes,Live training sessions,Neutral,No,Neutral,Somewhat,Never,No,Not effective,Neutral,Neutral
Often,Not sure what a password manager is,Not confident,"No, never",Not confident,Consult a colleague,Often,Most of the time,Occasionally,Rarely,"Yes, automatically",Neutral,Occasionally,Not helpful at all,Always,Quizzes,Neutral,Sometimes,Neutral,"Yes, significantly",Sometimes,Rarely,Neutral,Neutral,"Yes, somewhat"
Never,No,Confident,Not sure,Neutral,Consult a colleague,Always,Most of the time,"Yes, frequently",Occasionally,Never,Confident,Occasionally,Very helpful,Always,Live training sessions,Neutral,Sometimes,Neutral,"Yes, significantly",Never,No,Not effective,Useful,"Yes, somewhat"
Rarely,No,Not confident,"Yes, recently",Not confident,Consult a colleague,Often,Most of the time,"Yes, frequently",Occasionally,"Yes, manually",Confident,Never,Very helpful,Rarely,Quizzes,Neutral,"Yes, always",Somewhat relevant,Somewhat,Rarely,Sometimes,Not effective,Useful,"Yes, somewhat"
