Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q26,Q22,Q23,Q24,Q25
Never,No,Confident,Not sure,Not confident,Delete it immediately,Never,"Yes, always","No, never",Occasionally,"Yes, manually",Very confident,Rarely,Not very helpful,Sometimes,Quizzes,Very effective,Sometimes,Somewhat relevant,"Yes, significantly","Yes, frequently",Rarely,Neutral,Not useful,No
Rarely,Yes,Neutral,"Yes, recently",Not confident,Consult a colleague,Always,Never,Rarely,Never,Rarely,Neutral,Not sure,Helpful,Never,Simulations,Very effective,No,Not relevant,Somewhat,Rarely,"Yes, always",Effective,Useful,"Yes, somewhat"
Rarely,Yes,Not confident,"Yes, recently",Not confident,Consult a colleague,Sometimes,Rarely,Occasionally,Every week,Rarely,Confident,Occasionally,Not very helpful,Always,Videos,Not effective,"Yes, always",Neutral,Neutral,Rarely,Rarely,Neutral,Not useful,No
Sometimes,Yes,Very confident,"Yes, but a long time ago",Not confident,Open and read carefully,Rarely,"Yes, always",Rarely,Monthly,"Yes, manually",Neutral,"Yes, frequently",Not helpful at all,Most of the time,Live training sessions,Very effective,Rarely,Neutral,No,Sometimes,"Yes, always",Effective,Useful,"Yes, significantly"
Never,Yes,Not confident at all,"Yes, recently",Neutral,Open and read carefully,Never,Sometimes,"No, never",Occasionally,"Yes, automatically",Confident,Rarely,Not helpful at all,Always,Videos,Not effective,Sometimes,Somewhat relevant,Neutral,Sometimes,Rarely,Not effective,Very useful,"Yes, somewhat"
Often,No,Not confident at all,Not sure,Neutral,Report it to IT,Never,"Yes, always",Occasionally,Monthly,"Yes, manually",Not confident,Rarely,Not very helpful,Never,Videos,Effective,"Yes, always",Very relevant,"Yes, significantly","Yes, frequently",Sometimes,"Yes, highly effective",Very useful,"Yes, significantly"
Often,Yes,Neutral,"Yes, but a long time ago",Very confident,Open and read carefully,Often,Rarely,Occasionally,Never,Never,Not confident,Occasionally,Not very helpful,Sometimes,Simulations,Effective,No,Neutral,"Yes, significantly",Never,"Yes, always",Effective,Not useful,"Yes, somewhat"
Never,No,Confident,"Yes, but a long time ago",Very confident,Consult a colleague,Often,"Yes, always","No, never",Monthly,"Yes, manually",Confident,Never,Neutral,Most of the time,Quizzes,Not effective,Sometimes,Somewhat relevant,Neutral,"Yes, frequently",Rarely,Neutral,Not useful,Neutral
Always,No,Confident,Not sure,Very confident,Open and read carefully,Often,Sometimes,"No, never",Rarely,Sometimes,Very confident,Rarely,Not very helpful,Most of the time,Live training sessions,Very effective,"Yes, always",Not relevant,Somewhat,Never,No,Not effective,Not useful,"Yes, significantly"
Often,Not sure what a password manager is,Confident,"Yes, recently",Not confident,Report it to IT,Always,Most of the time,Occasionally,Monthly,"Yes, automatically",Very confident,Never,Not very helpful,Most of the time,Simulations,Not effective,No,Not relevant,"Yes, significantly","Yes, frequently",No,Effective,Very useful,"Yes, somewhat"
Rarely,No,Confident,"No, never",Very confident,Open and read carefully,Often,Most of the time,"Yes, frequently",Rarely,Rarely,Confident,Occasionally,Not very helpful,Most of the time,Videos,Very effective,Rarely,Somewhat relevant,No,"Yes, frequently","Yes, always",Effective,Not useful,"Yes, significantly"
Always,No,Neutral,"No, never",Very confident,Open and read carefully,Sometimes,Most of the time,"No, never",Occasionally,"Yes, automatically",Confident,Rarely,Neutral,Always,Quizzes,Effective,Sometimes,Not relevant,Neutral,Sometimes,Sometimes,"Yes, highly effective",Neutral,"Yes, somewhat"
Sometimes,Yes,Confident,"Yes, recently",Not confident,Report it to IT,Always,"Yes, always",Occasionally,Every week,Sometimes,Neutral,Never,Not very helpful,Rarely,Live training sessions,Very effective,"Yes, always",Somewhat relevant,Neutral,"Yes, frequently",Sometimes,Effective,Neutral,"Yes, significantly"
Rarely,Not sure what a password manager is,Confident,"Yes, but a long time ago",Neutral,Report it to IT,Rarely,Never,Occasionally,Rarely,Rarely,Neutral,Rarely,Helpful,Most of the time,Quizzes,Not effective,"Yes, always",Not relevant,No,Rarely,Sometimes,Not effective,Very useful,Neutral
